rank_position,player_id,username,total_wager_usd,active_days
1,"79,131",neksann77,"169,313.07",26
2,"79,169",makke,"14,507.15",10
3,"79,713",chickeyd,"7,547.07",4
4,"79,417",Hansama,"4,726.12",1
5,"79,381",niw3,"3,862.33",7
6,"79,768",Blastt325,"2,921.12",2
7,"79,916",tbaboun,"1,529.68",2
8,"79,538",Ryissly,"1,175.09",1
9,"79,687",infiluck,"1,096.46",4
10,"79,451",Kroons,"1,010.72",1
11,"79,800",atifbet,676.91,1
12,"79,475",Jkxd,463.65,6
13,"79,372",NSBrooklynTV,297.94,2
14,"79,619",jayslows9,290.11,3
15,"80,042",NOTCRYPTON,242.92,2
16,"79,904",Gentjana,212.23,1
17,"79,141",free,169.41,1
18,"79,765",Bclenita,117.51,3
19,"79,478",bersama,112.25,1
20,"79,859",0xCYBORG,108.81,2
21,"79,806",Bl0odyS,74.45,1
22,"79,465",WHYNOT,72.77,1
23,"79,611",jimtan8898,48,1
24,"80,103",Administrator,43.67,1
25,"79,567",NeverAFK,28.48,2
26,"79,749",hugomiguel2002,27.42,3
27,"79,886",ggluck777,21.76,1
28,"79,374",Rzemzem22,15.07,3
29,"79,461",Sachin9876b,11.53,1
30,"79,901",Sampiggy,11.3,1
31,"79,394",Vinayk10,10.37,1
32,"79,435",Alonzzo,4.94,1
33,"79,693",Goated477,4.84,2
34,"79,816",missecity,0.99,1
36,"79,797",Cryptonsingh,0,0
37,"79,780",dogehodler,0,0
38,"79,444",M3tr071,0,0
39,"79,874",Willcy,0,0
40,"79,881",BrawlzerX,0,0
41,"79,566",Lebby,0,0
42,"79,922",marzz,0,0
43,"79,352",itzrodz,0,0
44,"79,375",Mintifypro,0,0
45,"79,379",UnderButcher,0,0
46,"79,385",yjimvj,0,0
47,"79,393",cookbover,0,0
48,"79,426",regidancodes,0,0
49,"79,429",Abrohamlincoin,0,0
50,"79,448",Degen666,0,0
51,"79,453",Popyeta25,0,0
52,"79,468",sxseth,0,0
53,"79,481",Shahhnu,0,0
54,"79,496",Riping,0,0
55,"79,499",rvns,0,0
56,"79,508",Levion,0,0
57,"79,511",CEObitcoin,0,0
58,"79,522",aliora,0,0
59,"79,524",RalfKaestner,0,0
60,"79,530",jingbar,0,0
61,"79,480",strike31,0,0
